"id","cefr_level","headword","pos","first_meaning","length","meaning_raw","example_ja","topic"
"553","A1","'m","be-verb","amの短縮形","6","[[am]]の短縮形","私は店に行くつもりです。",""
"734","A1","'re","be-verb","areの短縮形","7","[[are]]の短縮形","あなたは私が今まで出会った中で最高の友達です。",""
"767","A1","'s","be-verb","has","3","[[has]], [[is]], [[us]],(疑問詞のあとの) [[does]]の短縮形","彼女は美しい笑顔を持っています。",""
"33","A1","April","noun","4月","2","4月(《略》Apr.)","4月は花が咲く月です。",""
"42","A1","August","noun","8月","2","8月(《略》Aug.)  / 《形容詞的に》August heat wave{名}〈C〉8月の暑波August vacation{名}〈C〉8月の休暇","8月は私の一番好きな月です。",""
"158","A1","CD","noun","コンパクトディスク","9","（音楽を聴くためなどに使う）コンパクトディスク","昨日新しいCDを買った。","Free time; Hobbies and pastimes; entertainment"
"159","A1","CD player","noun","CDプレーヤー","7","（音楽を聴くための）CDプレーヤー","私は車のために新しいCDプレーヤーを買った。","House and home; Objects and rooms; environment"
"277","A1","DVD","noun","デジタル多用途ディスク","11","（動画などを見るための）デジタル多用途ディスク","昨日新しいDVDを買った。","Free time; Hobbies and pastimes; entertainment"
"240","A1","December","noun","12月","3","12月({略}Dec.)","12月が楽しみです。",""
"327","A1","February","noun","2月","2","2月(《略》Feb.)","2月は1年の第2の月です。",""
"368","A1","Friday","noun","金曜日","3","金曜日(《略》Fr.,Fri.)","金曜日を楽しみにしています。",""
"484","A1","January","noun","1月","2","1月(《略》Ja.,Jan.)","1月の暖かい日を楽しみにしています。",""
"492","A1","July","noun","7月","2","7月(《略》Jul.,Jy.)","今年の7月で当社が5周年を迎える。",""
"494","A1","June","noun","6月","2","6月(《略》Je.,Jun.)","夏の暑さは６月から始まる。",""
"561","A1","March","noun","3月","2","『3月』({略}『Mar.』)","3月は1年のうちで3番目の月です。",""
"564","A1","May","noun","5月","2","『5月』","５月は年の第５ヶ月です。",""
"580","A1","Miss","noun","未婚婦人","4","〈C〉未婚婦人 /《複数形で》少女 / 《M-》《未婚婦人の姓・姓名の前に付けて》…嬢,…さん / 《生徒が女の先生に対して》…先生","彼女は未婚婦人です。","Personal identification"
"587","A1","Monday","noun","月曜日","3","月曜日(《略》Mon.)","今日は月曜日です。",""
"600","A1","Mr.","noun","Mister","6","[[Mister]] / 《成人男子の姓・姓名の前に付けて》…『氏』,様,殿,君,さん,先生 / 《官職名・役職名の前に付けて》…殿 / 《電話で自分を名乗って》 / 《まれ》《自分の夫のことを他人に話すとき,また改まって》夫,主人 / 《一国・一団の代表的な男性に用いて》","スミスさんは私の隣人です。","Personal identification"
"601","A1","Mrs.","noun","Mistress","8","[[Mistress]] / 《既婚女性の姓・姓名の前に付けて》…『夫人』,様,殿,さん,先生 / 《電話で自分を名乗って》","スミスさんは私の隣人です。","Personal identification"
"628","A1","November","noun","U","1","〈U/C〉11月, 《形容詞的に》11月の","11月は1年の11番目の月である。",""
"638","A1","OK","adjective","okay","4","《…にとって》『よろしい』([[all right]])《with ...》 / [[okay]]","この決定は私にとってよろしいです。",""
"639","A1","OK ; okay","adverb","うまく","3","『うまく』,よく([[well]]), 支障なく / [[OK]]","よし、一緒にこの問題を解決しよう。",""
"633","A1","October","noun","10月","3","〈U〉〈C〉10月, 《形容詞的に》10月の","今は10月です。",""
"641","A1","Olympics","noun","オリンピア競技","7","《The》(現代の)国際オリンピック大会 / (古代ギリシャの)オリンピア競技","オリンピックを楽しみにしています。","Free time; News; entertainment; lifestyles and current affairs"
"775","A1","Saturday","noun","土曜日Saturns dayの意","16","土曜日(Saturn's dayの意;《略》Sat.)","土曜日が楽しみです。",""
"790","A1","September","noun","9月英米では学校の新学年の始まる月","17","9月(英米では学校の新学年の始まる月;Sept.,Sep.)","9月の気候は暖かく晴れていた。",""
"885","A1","Sunday","noun","日曜日キリスト教の安息日で週の第1日","18","日曜日(キリスト教の安息日で週の第1日;《略》Sun.)","毎週日曜日を楽しみにしています。",""
"970","A1","T-shirt","noun","ティーシャツ","6","ティーシャツ(丸首の半そでシャツ) / [[tee-shirt]]","昨日、新しいTシャツを買いました。","Clothes; Shopping"
"976","A1","TV","noun","television","10","television","昨晩２時間テレビを見ました。","House and home; Objects and rooms; environment"
"939","A1","Thursday","noun","木曜日","3","木曜日《略》Thu,Thur.,Thurs.)","木曜日が楽しみです。",""
"972","A1","Tuesday","noun","火曜日","3","火曜日({略}Tu.,Tues.)","私は火曜日を楽しみにしています。",""
"1015","A1","Wednesday","noun","水曜日","3","水曜日(《略》Wed.)","私は水曜日に会議を持つ予定です。",""
"1","A1","about","adverb","周囲に","3","《時を表す名詞を伴って》だいたい…ころに(《話》[[around]])  / 周囲に(《米》[[around]])  / 《英》あちこちに,点々と(《米》[[around]])  / 《英》あたりに(《米》[[around]])  / 《しばしば数詞と共に用いて》およそ,約 / ぐるっと回って,反対の位置(方向)に(《米》[[around]]) / 順番に,交互に","私は到着する予定です/その駅に/だいたい7時頃に",""
"2","A1","about","preposition","…について","5","…について,に関して  / 《英》…の回りに(を),の周囲を(で)(《米》[[around]])  / 《英》…のあちこちに(で,を),に点々と(《米》[[around]])  / 《英》…のあたりに(を),の近くに([[near]])(《米》[[around]])  / …の身の回りに,を手もとに  / …の身辺に,のどこかに  / …に従事して,にかかわって","私はレポートを書いています/環境問題についての",""
"3","A1","above","adverb","上方に","3","上方に, 上方を / 真上に, 頭上に高く / 上流に / 天に,空に / (特に地位において)高位に / (本・ページの)前に,前文に","彼女は上の階に住んでいる。",""
"4","A1","action","noun","行動","2","〈U〉行動, 活動, 精力的な活動 / 〈C〉行為, 行い, 《複数形で》日常の行動, ふるまい / 〈U〉(機械などの) 働き, 機能 / (薬・化学薬品などの) 作用","あなたの行動には結果が伴います。",""
"5","A1","activity","noun","活動","2","〈U〉活動,働き;活力  / 《しばしば複数形で》(種々の)活動,行事;(学生の)学内(外)活動,クラブ活動  / 〈U〉(商況・市場などの)活発,活気","公園での活動は活気があり、楽しかった。","Free time; Leisure activities; entertainment"
