headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
abandon,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abandon,を捨て去る / を断念する,,を捨て去る / を断念する,/əˈbændən/,63,The crew abandoned the ship.,乗組員は船を放棄した。,60477
able,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,able,"《 be ~ to do》《...することが》できる / 有能な, 腕利きの, 並々ならない",,"《 be ~ to do》《...することが》できる / 有能な, 腕利きの, 並々ならない",/ˈeɪ.bəl/,115,He was not able to open the box.,彼はその箱を開けることができなかった。,38067
abnormal,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abnormal,"『異常な』,普通でない,規準をはずれた",,"『異常な』,普通でない,規準をはずれた",/æbˈnɔːrməl/,124,The test results showed abnormal levels of chemicals in the water.,試験結果は、水中の化学物質の異常なレベルを示しました。,1658008
aboard,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aboard,(船・航空機・列車などに) 乗って,,(船・航空機・列車などに) 乗って,/əˈbɔːrd/,127,"The bus fell off the cliff, killing all 10 aboard.",バスが崖から転落し、乗っていた１０名全員が死亡した。,110183
aborigine,noun,"CoreInventory_1: Nationalities and countries

CoreInventory 2: 

Threshold: ",,aborigine,原住民;《通例複数形で》土着の動物(植物),,原住民;《通例複数形で》土着の動物(植物),/æbəˈrɪdʒɪn/,140,The aborigine tribes have lived in this area for thousands of years.,この地域には原住民の部族が何千年も住んでいます。,1653457
above,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,above,"前述の,上述の, 上記の / 上の",,"前述の,上述の, 上記の / 上の",/əˈbʌv/,3207946,The above statement is true.,前述の声明は真実です。,3008605
absence,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,absence,"〈U/C〉留守, 不在 / 欠席, 《...を》欠席すること《from ...》 / 〈U〉《...が》ないこと《of ...》",,"〈U/C〉留守, 不在 / 欠席, 《...を》欠席すること《from ...》 / 〈U〉《...が》ないこと《of ...》",/ˈæbsəns/,175,You have to account for your absence.,君は欠席の理由を説明しなければならない。,91343
absent,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,absent,"欠席した,留守の,不在の  / (物が)欠けている,ない  / 《名詞の前にのみ用いて》放心した  / (…から)〈人〉'を'欠席させる《+名+from+名》",,"欠席した,留守の,不在の  / (物が)欠けている,ない  / 《名詞の前にのみ用いて》放心した  / (…から)〈人〉'を'欠席させる《+名+from+名》",/ˈæbsənt/,177,John was absent from school yesterday.,ジョンは昨日、学校を欠席した。,2995635
absolute,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,absolute,"まったくの,完全な(complete)  / 絶対的な力を持った,絶対の  / 確かな,確固とした(certain)  / 無条件の,制約のない  / (文法で)独立の,単独の",,"まったくの,完全な(complete)  / 絶対的な力を持った,絶対の  / 確かな,確固とした(certain)  / 無条件の,制約のない  / (文法で)独立の,単独の",/ˈæbsəˌlut/,187,That's absolute nonsense!,それは全く馬鹿げた話だ。,116880
absolutely,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,absolutely,"絶対的に, 完全に / 無条件に / 《話》(返事や合いの手として)そのとおり,まったく",,"絶対的に, 完全に / 無条件に / 《話》(返事や合いの手として)そのとおり,まったく",/ˌæbˈsəlutli/,193,You are absolutely right.,全くおっしゃる通りです。,144001
absorb,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,absorb,【動/他】を吸収する / 〈心・注意・時間〉をすっかり奪う,,【動/他】を吸収する / 〈心・注意・時間〉をすっかり奪う,/əbˈsɔːrb/,197,Plants absorb sunlight to perform photosynthesis.,植物は光合成を行うために太陽光を吸収します。,2995643
abstract,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abstract,抽象的な / 理論的な,,抽象的な / 理論的な,/ˈæb.strækt/,209,The concept of love is quite abstract.,愛の概念はかなり抽象的です。,2995648
abundance,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abundance,"(あり余るほど)『たくさん』,『豊富』;《an~》たくさん(の…)《+『of』+『名』》",,"(あり余るほど)『たくさん』,『豊富』;《an~》たくさん(の…)《+『of』+『名』》",/əˈbʌndəns/,218,The orchard yielded an abundance of apples this year.,その果樹園は今年、りんごをあり余るほどたくさん実らせました。,2995654
abundant,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abundant,"『豊富な』,十分な",,"『豊富な』,十分な",/əˈbʌndənt/,219,This region is known for its abundant natural resources.,この地域は豊富な自然資源で知られています。,2995652
academic,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,academic,"学園の, 大学の / (職業教育に対して)純粋学問の / 理論的な, 非実際的な",,"学園の, 大学の / (職業教育に対して)純粋学問の / 理論的な, 非実際的な",/əˈkædəmɪk/,239,The academic atmosphere in this university is very stimulating.,この大学の校風はとても刺激的です。,2995661
academy,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: ",,academy,"『学士院』,芸術院 / 《米》私立中等(高等)学校 / (特殊教育の)専門学校",,"『学士院』,芸術院 / 《米》私立中等(高等)学校 / (特殊教育の)専門学校",/əˈkædəmi/,245,She graduated from the academy with honors.,彼女は学士院を優秀な成績で卒業しました。,1634040
accent,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: Education",,accent,"〈C〉〈U〉アクセント,強勢;アクセント記号  / 〈C〉(言葉の)なまり  / 《複数形で》口調,音調(tone)  / 〈C〉〈U〉強調,重視",,"〈C〉〈U〉アクセント,強勢;アクセント記号  / 〈C〉(言葉の)なまり  / 《複数形で》口調,音調(tone)  / 〈C〉〈U〉強調,重視",/ˈæksənt/,256,She speaks English with a foreign accent.,彼女は外国なまりのある英語を話す。,16537
acceptance,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,acceptance,"〈U〉受け取ること,認めること,受け入れられていること;同意  / 〈U〉(手形の)引受け;〈C〉引受済み手形",,"〈U〉受け取ること,認めること,受け入れられていること;同意  / 〈U〉(手形の)引受け;〈C〉引受済み手形",/əkˈsɛptəns/,262,Her acceptance of the award was met with applause.,彼女の受賞の受け入れは拍手で迎えられました。,1653221
access,noun,"CoreInventory_1: Ways of travelling

CoreInventory 2: 

Threshold: Travel",,access,"【名/U】《人・物・場所への》 接近 《to ...》/ 《…への》接近の機会, 入場の権利《to ...》 / 【名/C】《…へ》接近する手段(方法)《to ...》",,"【名/U】《人・物・場所への》 接近 《to ...》/ 《…への》接近の機会, 入場の権利《to ...》 / 【名/C】《…へ》接近する手段(方法)《to ...》",/ˈæksɛs/,267,A bridge gives access to the island.,橋でその島へ渡れるようになっている。,94103
accessible,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accessible,"(またget-at-able)近づきやすい,入りやすい,達しうる  / 《補語にのみ用いて》(感情などに)動かされやすい,(…の)影響を受けやすい《+to+名》",,"(またget-at-able)近づきやすい,入りやすい,達しうる  / 《補語にのみ用いて》(感情などに)動かされやすい,(…の)影響を受けやすい《+to+名》",/əkˈsɛsəbəl/,269,This airport is easily accessible by bus.,この空港はバスで楽に行けます。,133992
accessory,noun,"CoreInventory_1: Shopping

CoreInventory 2: 

Threshold: Shopping",,accessory,"〈C〉《通例複数形で》《...への》付属品, アクセサリー 《for ...》 / (法律用語で) 従犯者,犯人隠匿者",,"〈C〉《通例複数形で》《...への》付属品, アクセサリー 《for ...》 / (法律用語で) 従犯者,犯人隠匿者",/əkˈsɛsəri/,271,The shop sells expensive accessories for women.,その店では女性用の高価なアクセサリーを売っている。,119491
accidental,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accidental,"『偶然の』,思いがけない / (音楽の)臨時記号",,"『偶然の』,思いがけない / (音楽の)臨時記号",/ˌæksɪˈdɛntəl/,277,Columbus' discovery of America was accidental.,コロンブスがアメリカを発見したのは、偶然だった。,129298
accidentally,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accidentally,"偶然に,思いがけなく、誤って、うっかりと",,"偶然に,思いがけなく、誤って、うっかりと",/əˈsɪdəntli/,278,I accidentally dropped my phone in the pool.,誤って携帯電話をプールに落としてしまいました。,2995673
accompany,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accompany,【動/他】(人など)に同行する / に付随して起こる / (歌・歌手)の伴奏をする,,【動/他】(人など)に同行する / に付随して起こる / (歌・歌手)の伴奏をする,/əˈkʌmpəni/,293,I'll accompany you to the airport.,空港までお伴しましょう。,93322
accomplish,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accomplish,"（仕事・目的など）を成し遂げる, 仕上げる；（旅などを）終える；（年齢など）に達する",,"（仕事・目的など）を成し遂げる, 仕上げる；（旅などを）終える；（年齢など）に達する",/əˈkɑmplɪʃ/,295,This plan is impossible to accomplish.,この計画は達成不可能だ。,133915
according to,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,according to,"...によると, ...によれば / ...に合わせて, ...に応じて, ...に従って",,"...によると, ...によれば / ...に合わせて, ...に応じて, ...に従って",/əˈkɔr.dɪŋ tuː/,605465,"According to the weather forecast, it will rain tomorrow.",天気予報によると、明日は雨が降るそうです。,3007842
account,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,account,〖for A〗Aを占める；Aを説明する,,〖for A〗Aを占める；Aを説明する,/əˈkaʊnt/,9702339,You have to account for the result.,君はその結果を説明しなければならない。,91756
accountant,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: Personal identification",,accountant,"〈C〉会計係, 会計士, 計理士",,"〈C〉会計係, 会計士, 計理士",/əˈkaʊntənt/,312,The accountant made a misstatement in the financial report.,会計士は財務報告書で誤った陳述をしました。,1658365
accuracy,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accuracy,〈U〉正確さ / 正確なこと / 精度,,〈U〉正確さ / 正確なこと / 精度,/ˈækjərəsi/,328,The accuracy of this machine is impressive.,この機械の精度は素晴らしい。,2995699
accurate,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accurate,"【形】正確な, 的確な, 精密な",,"【形】正確な, 的確な, 精密な",/ˈækjərət/,329,The information provided by the research team was accurate.,研究チームから提供された情報は正確でした。,2995701
accurately,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accurately,"【副】正確に,精密に",,"【副】正確に,精密に",/ˈækjərətli/,330,He accurately described what happened there.,彼はそこで起きたことを正確に描写した。,38862
accuse,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accuse,"《...の罪で》 ...を訴える, を告発する 《... of ...》 / 《...であると》 ...を非難する 《... of ...》",,"《...の罪で》 ...を訴える, を告発する 《... of ...》 / 《...であると》 ...を非難する 《... of ...》",/əˈkjuːz/,336,He was accused of stealing the necklace.,彼はネックレスを盗んだと告発されました。,2995700
accustom,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accustom,〈他〉を慣らす,,〈他〉を慣らす,/əˈkʌstəm/,339,You need to accustom yourself to the new environment.,新しい環境に慣れる必要があります。,2995706
